time_days	observed_range_m	baseline_range_m	fitted_range_m	fit_residual_m
3.100000000000000000e+01	3.836066308967663050e+08	3.836066240763477683e+08	3.836066308944190741e+08	2.347230911254882812e-03
3.200000000000000000e+01	3.837120286400631666e+08	3.837120223450344801e+08	3.837120286388208270e+08	1.242339611053466797e-03
3.300000000000000000e+01	3.838609336856531501e+08	3.838609287438732386e+08	3.838609336832638383e+08	2.389311790466308594e-03
3.400000000000000000e+01	3.839017173606085181e+08	3.839017145368553996e+08	3.839017173587930799e+08	1.815438270568847656e-03
3.500000000000000000e+01	3.836901846065723896e+08	3.836901845472970605e+08	3.836901846105369329e+08	-3.964543342590332031e-03
3.600000000000000000e+01	3.831219625738044977e+08	3.831219657504028678e+08	3.831219625797197223e+08	-5.915224552154541016e-03
3.700000000000000000e+01	3.821581789404440522e+08	3.821581856187735796e+08	3.821581789380770326e+08	2.367019653320312500e-03
3.800000000000000000e+01	3.808402286880855560e+08	3.808402389358707666e+08	3.808402286904927492e+08	-2.407193183898925781e-03
3.900000000000000000e+01	3.792908585100661516e+08	3.792908721386166215e+08	3.792908585057566762e+08	4.309475421905517578e-03
4.000000000000000000e+01	3.777002883338012099e+08	3.777003049466208220e+08	3.777002883306486607e+08	3.152549266815185547e-03
4.100000000000000000e+01	3.762980175211040974e+08	3.762980365169447660e+08	3.762980175246423483e+08	-3.538250923156738281e-03
4.200000000000000000e+01	3.753136766593546867e+08	3.753136972725036144e+08	3.753136766644585729e+08	-5.103886127471923828e-03
4.300000000000000000e+01	3.749335544716783762e+08	3.749335758426261544e+08	3.749335544619802833e+08	9.698092937469482422e-03
4.400000000000000000e+01	3.752620931051357985e+08	3.752621144184972644e+08	3.752620931061425805e+08	-1.006782054901123047e-03
4.500000000000000000e+01	3.762979756695859432e+08	3.762979961595633626e+08	3.762979756720125675e+08	-2.426624298095703125e-03
4.600000000000000000e+01	3.779313179568608403e+08	3.779313370038939714e+08	3.779313179519416690e+08	4.919171333312988281e-03
4.700000000000000000e+01	3.799626540298478007e+08	3.799626712156981826e+08	3.799626540364362001e+08	-6.588399410247802734e-03
4.800000000000000000e+01	3.821383668051846623e+08	3.821383818522022963e+08	3.821383668163929582e+08	-1.120829582214355469e-02
4.900000000000000000e+01	3.841935960377257466e+08	3.841936087859371901e+08	3.841935960322443247e+08	5.481421947479248047e-03
5.000000000000000000e+01	3.858934723001920581e+08	3.858934827215085030e+08	3.858934723030214906e+08	-2.829432487487792969e-03
5.100000000000000000e+01	3.870658560949670076e+08	3.870658641765143871e+08	3.870658561044225097e+08	-9.455502033233642578e-03
5.200000000000000000e+01	3.876218525518930554e+08	3.876218582782489657e+08	3.876218525508784056e+08	1.014649868011474609e-03
5.300000000000000000e+01	3.875629002061057091e+08	3.875629035993732810e+08	3.875629002098836303e+08	-3.777921199798583984e-03
5.400000000000000000e+01	3.869748030873457789e+08	3.869748041589667201e+08	3.869748030803124309e+08	7.033348083496093750e-03
5.500000000000000000e+01	3.860100186646510959e+08	3.860100175080337524e+08	3.860100186589043736e+08	5.746722221374511719e-03
5.600000000000000000e+01	3.848604077402616143e+08	3.848604045350067019e+08	3.848604077350736260e+08	5.187988281250000000e-03
5.700000000000000000e+01	3.837238895751484036e+08	3.837238846539990306e+08	3.837238895804916024e+08	-5.343198776245117188e-03
5.800000000000000000e+01	3.827699627304808497e+08	3.827699565730833411e+08	3.827699627322234511e+08	-1.742601394653320312e-03
5.900000000000000000e+01	3.821102423527037501e+08	3.821102356327583194e+08	3.821102423576278687e+08	-4.924118518829345703e-03
6.000000000000000000e+01	3.817801385735380054e+08	3.817801320965830088e+08	3.817801385772444010e+08	-3.706395626068115234e-03
6.100000000000000000e+01	3.817359495392661095e+08	3.817359441938568354e+08	3.817359495374916196e+08	1.774489879608154297e-03
6.200000000000000000e+01	3.818682153089250922e+08	3.818682119855123162e+08	3.818682152970719337e+08	1.185315847396850586e-02
6.300000000000000000e+01	3.820283234924347997e+08	3.820283230251257420e+08	3.820283234952555895e+08	-2.820789813995361328e-03
6.400000000000000000e+01	3.820624859713174701e+08	3.820624889870356917e+08	3.820624859746984839e+08	-3.381013870239257812e-03
6.500000000000000000e+01	3.818461364052328467e+08	3.818461433089010715e+08	3.818461364095600843e+08	-4.327237606048583984e-03
6.600000000000000000e+01	3.813124014190191627e+08	3.813124123285295963e+08	3.813124014224253893e+08	-3.406226634979248047e-03
6.700000000000000000e+01	3.804698345307084918e+08	3.804698492591622472e+08	3.804698345361919403e+08	-5.483448505401611328e-03
6.800000000000000000e+01	3.794063759286599755e+08	3.794063939661057591e+08	3.794063759238287807e+08	4.831194877624511719e-03
6.900000000000000000e+01	3.782782802541416287e+08	3.782783008326928020e+08	3.782782802433775067e+08	1.076412200927734375e-02
7.000000000000000000e+01	3.772847639372739196e+08	3.772847860835822821e+08	3.772847639272258878e+08	1.004803180694580078e-02
7.100000000000000000e+01	3.766316639753530622e+08	3.766316866100738645e+08	3.766316639750043154e+08	3.487467765808105469e-04
7.200000000000000000e+01	3.764903263816900253e+08	3.764903484268764257e+08	3.764903263881374002e+08	-6.447374820709228516e-03
7.300000000000000000e+01	3.769603234712925553e+08	3.769603439706571698e+08	3.769603234661378264e+08	5.154728889465332031e-03
7.400000000000000000e+01	3.780449841516371965e+08	3.780450024264650345e+08	3.780449841563621163e+08	-4.724919795989990234e-03
7.500000000000000000e+01	3.796461147643780708e+08	3.796461304006003737e+08	3.796461147726925611e+08	-8.314490318298339844e-03
7.600000000000000000e+01	3.815791989686707258e+08	3.815792118344858289e+08	3.815791989655185342e+08	3.152191638946533203e-03
7.700000000000000000e+01	3.836048559963433146e+08	3.836048662274618149e+08	3.836048559950259924e+08	1.317322254180908203e-03
7.800000000000000000e+01	3.854687362831655741e+08	3.854687441561747193e+08	3.854687362828035355e+08	3.620386123657226562e-04
7.900000000000000000e+01	3.869414169662551880e+08	3.869414228169432282e+08	3.869414169632615447e+08	2.993643283843994141e-03
8.000000000000000000e+01	3.878516162829602957e+08	3.878516204319592118e+08	3.878516162780474424e+08	4.912853240966796875e-03
8.100000000000000000e+01	3.881086936349708438e+08	3.881086963330212831e+08	3.881086936335533857e+08	1.417458057403564453e-03
8.200000000000000000e+01	3.877126945868239999e+08	3.877126959870499372e+08	3.877126945928696990e+08	-6.045699119567871094e-03
8.300000000000000000e+01	3.867516720760752559e+08	3.867516722368267179e+08	3.867516720819175243e+08	-5.842268466949462891e-03
8.400000000000000000e+01	3.853868997121427059e+08	3.853868986486163139e+08	3.853868997067616582e+08	5.381047725677490234e-03
8.500000000000000000e+01	3.838274440518766642e+08	3.838274418250683546e+08	3.838274440455201268e+08	6.356537342071533203e-03
8.600000000000000000e+01	3.822968543017097116e+08	3.822968510585324764e+08	3.822968542947509289e+08	6.958782672882080078e-03
8.700000000000000000e+01	3.809965205149620175e+08	3.809965165674397945e+08	3.809965205163247585e+08	-1.362740993499755859e-03
8.800000000000000000e+01	3.800720005455348492e+08	3.800719963777943850e+08	3.800720005468766093e+08	-1.341760158538818359e-03
8.900000000000000000e+01	3.795892926636447310e+08	3.795892889537869692e+08	3.795892926689137220e+08	-5.268990993499755859e-03
9.000000000000000000e+01	3.795266941983847022e+08	3.795266917360160351e+08	3.795266941926118731e+08	5.772829055786132812e-03
9.100000000000000000e+01	3.797844484866726995e+08	3.797844481477890611e+08	3.797844484978901744e+08	-1.121747493743896484e-02
9.200000000000000000e+01	3.802099462312198877e+08	3.802099487703670859e+08	3.802099462295582294e+08	1.661658287048339844e-03
9.300000000000000000e+01	3.806325407484393120e+08	3.806325468003270030e+08	3.806325407560095787e+08	-7.570266723632812500e-03
9.400000000000000000e+01	3.809003383031208515e+08	3.809003482046488523e+08	3.809003383093221188e+08	-6.201267242431640625e-03
9.500000000000000000e+01	3.809117614245348573e+08	3.809117751850557923e+08	3.809117614226618409e+08	1.873016357421875000e-03
9.600000000000000000e+01	3.806364689388907552e+08	3.806364862121947408e+08	3.806364689293917418e+08	9.499013423919677734e-03
9.700000000000000000e+01	3.801223972872794271e+08	3.801224173919545412e+08	3.801223972884699702e+08	-1.190543174743652344e-03
9.800000000000000000e+01	3.794877723643018007e+08	3.794877942938641906e+08	3.794877723679278493e+08	-3.626048564910888672e-03
9.900000000000000000e+01	3.788989878946000934e+08	3.788990104488356113e+08	3.788989878973845840e+08	-2.784490585327148438e-03
1.000000000000000000e+02	3.785375291619435549e+08	3.785375510809319019e+08	3.785375291616381407e+08	3.054141998291015625e-04
1.010000000000000000e+02	3.785616180732412338e+08	3.785616381961309910e+08	3.785616180689275265e+08	4.313707351684570312e-03
1.020000000000000000e+02	3.790703136192846894e+08	3.790703310435241461e+08	3.790703136195734143e+08	-2.887248992919921875e-04
1.030000000000000000e+02	3.800782787746303082e+08	3.800782929489084482e+08	3.800782787789322138e+08	-4.301905632019042969e-03
1.040000000000000000e+02	3.815074323509292006e+08	3.815074431201037765e+08	3.815074323473124504e+08	3.616750240325927734e-03
1.050000000000000000e+02	3.831974864556435943e+08	3.831974940832588673e+08	3.831974864697157145e+08	-1.407212018966674805e-02
1.060000000000000000e+02	3.849324835902478695e+08	3.849324885697359443e+08	3.849324835855047107e+08	4.743158817291259766e-03
1.070000000000000000e+02	3.864768709388237596e+08	3.864768739915162325e+08	3.864768709417000413e+08	-2.876281738281250000e-03
1.080000000000000000e+02	3.876135230900725126e+08	3.876135249357916713e+08	3.876135230959281325e+08	-5.855619907379150391e-03
1.090000000000000000e+02	3.881771898790127039e+08	3.881771911498011947e+08	3.881771898840424418e+08	-5.029737949371337891e-03
1.100000000000000000e+02	3.880789607579482198e+08	3.880789619108464122e+08	3.880789607555999756e+08	2.348244190216064453e-03
1.110000000000000000e+02	3.873193593646539450e+08	3.873193606639873981e+08	3.873193593681405783e+08	-3.486633300781250000e-03
1.120000000000000000e+02	3.859890732803106308e+08	3.859890747581071854e+08	3.859890732777207494e+08	2.589881420135498047e-03
1.130000000000000000e+02	3.842571941521716118e+08	3.842571957003543973e+08	3.842571941510268450e+08	1.144766807556152344e-03
1.140000000000000000e+02	3.823476972683176994e+08	3.823476986975944638e+08	3.823476972728503346e+08	-4.532635211944580078e-03
1.150000000000000000e+02	3.805062576880891919e+08	3.805062588186516166e+08	3.805062576885777116e+08	-4.885196685791015625e-04
1.160000000000000000e+02	3.789615689009436369e+08	3.789615696956069469e+08	3.789615689058656693e+08	-4.922032356262207031e-03
1.170000000000000000e+02	3.778876255576916933e+08	3.778876261696497202e+08	3.778876255645160675e+08	-6.824374198913574219e-03
1.180000000000000000e+02	3.773748084091670513e+08	3.773748092148771882e+08	3.773748084057166576e+08	3.450393676757812500e-03
1.190000000000000000e+02	3.774167919610499740e+08	3.774167935597022176e+08	3.774167919508383870e+08	1.021158695220947266e-02
1.200000000000000000e+02	3.779168417481119633e+08	3.779168448743602633e+08	3.779168417438352108e+08	4.276752471923828125e-03
1.210000000000000000e+02	3.787120168795893192e+08	3.787120222666315436e+08	3.787120168854542971e+08	-5.864977836608886719e-03
1.220000000000000000e+02	3.796092151319890022e+08	3.796092233638271689e+08	3.796092151292563677e+08	2.732634544372558594e-03
1.230000000000000000e+02	3.804246611546428800e+08	3.804246726003824472e+08	3.804246611582880020e+08	-3.645122051239013672e-03
1.240000000000000000e+02	3.810187519504308701e+08	3.810187666183100939e+08	3.810187519543679357e+08	-3.937065601348876953e-03
1.250000000000000000e+02	3.813202609649251103e+08	3.813202784837798476e+08	3.813202609695191383e+08	-4.594027996063232422e-03
1.260000000000000000e+02	3.813365208994070888e+08	3.813365405188469291e+08	3.813365209040040374e+08	-4.596948623657226562e-03
1.270000000000000000e+02	3.811485777629520297e+08	3.811485984227315187e+08	3.811485777702613473e+08	-7.309317588806152344e-03
1.280000000000000000e+02	3.808923480109955072e+08	3.808923684482436180e+08	3.808923480144532919e+08	-3.457784652709960938e-03
1.290000000000000000e+02	3.807287940465316772e+08	3.807288129740732312e+08	3.807287940454373360e+08	1.094341278076171875e-03
1.300000000000000000e+02	3.808081967478770018e+08	3.808082130353680849e+08	3.808081967450498939e+08	2.827107906341552734e-03
1.310000000000000000e+02	3.812353697932295799e+08	3.812353826358137131e+08	3.812353697930914164e+08	1.381635665893554688e-04
1.320000000000000000e+02	3.820432736024858952e+08	3.820432826362985373e+08	3.820432736051119566e+08	-2.626061439514160156e-03
1.330000000000000000e+02	3.831811366800454855e+08	3.831811420291079283e+08	3.831811366836346984e+08	-3.589212894439697266e-03
1.340000000000000000e+02	3.845198512015668750e+08	3.845198534261145592e+08	3.845198511927468777e+08	8.819997310638427734e-03
1.350000000000000000e+02	3.858731440440195799e+08	3.858731440663968921e+08	3.858731440397775173e+08	4.242062568664550781e-03
1.360000000000000000e+02	3.870294689188879132e+08	3.870294678167980313e+08	3.870294689214030504e+08	-2.515137195587158203e-03
1.370000000000000000e+02	3.877879085042400360e+08	3.877879073440124393e+08	3.877879085071761608e+08	-2.936124801635742188e-03
1.380000000000000000e+02	3.879917206033402085e+08	3.879917203000688553e+08	3.879917206064622402e+08	-3.122031688690185547e-03
1.390000000000000000e+02	3.875547073312002420e+08	3.875547085231356025e+08	3.875547073297536969e+08	1.446545124053955078e-03
1.400000000000000000e+02	3.864773276828891039e+08	3.864773306853488088e+08	3.864773276853464842e+08	-2.457380294799804688e-03
1.410000000000000000e+02	3.848508026746185422e+08	3.848508074433382750e+08	3.848508026740999222e+08	5.186200141906738281e-04
1.420000000000000000e+02	3.828483590086554289e+08	3.828483652140673399e+08	3.828483590100553036e+08	-1.399874687194824219e-03
1.430000000000000000e+02	3.807036546417603493e+08	3.807036617526711226e+08	3.807036546487326026e+08	-6.972253322601318359e-03
1.440000000000000000e+02	3.786778936545323133e+08	3.786779010579789877e+08	3.786778936557988524e+08	-1.266539096832275391e-03
1.450000000000000000e+02	3.770194630090937614e+08	3.770194701962046623e+08	3.770194630156587958e+08	-6.565034389495849609e-03
1.460000000000000000e+02	3.759227121008328795e+08	3.759227187546461821e+08	3.759227121000893712e+08	7.435083389282226562e-04
1.470000000000000000e+02	3.754945075489250422e+08	3.754945136757923365e+08	3.754945075497033000e+08	-7.782578468322753906e-04
1.480000000000000000e+02	3.757368530030487180e+08	3.757368589203682542e+08	3.757368530087672472e+08	-5.718529224395751953e-03
1.490000000000000000e+02	3.765503874181330800e+08	3.765503936829602718e+08	3.765503874191195369e+08	-9.864568710327148438e-04
1.500000000000000000e+02	3.777579407966606021e+08	3.777579480992677212e+08	3.777579407910258174e+08	5.634784698486328125e-03
1.510000000000000000e+02	3.791419310772413611e+08	3.791419400914394855e+08	3.791419310818210244e+08	-4.579663276672363281e-03
1.520000000000000000e+02	3.804864767160794735e+08	3.804864878920702934e+08	3.804864767179998755e+08	-1.920402050018310547e-03
1.530000000000000000e+02	3.816153360694799423e+08	3.816153495611689091e+08	3.816153360796896219e+08	-1.020967960357666016e-02
1.540000000000000000e+02	3.824191846437823176e+08	3.824192001937747598e+08	3.824191846544197798e+08	-1.063746213912963867e-02
1.550000000000000000e+02	3.828687587672871351e+08	3.828687757224142551e+08	3.828687587737807035e+08	-6.493568420410156250e-03
1.560000000000000000e+02	3.830129961853768826e+08	3.830130135587153435e+08	3.830129961855877042e+08	-2.108216285705566406e-04
1.570000000000000000e+02	3.829632877509184480e+08	3.829633043544779420e+08	3.829632877501609921e+08	7.574558258056640625e-04
1.580000000000000000e+02	3.828666359996060133e+08	3.828666506108490825e+08	3.828666359994508028e+08	1.552104949951171875e-04
1.590000000000000000e+02	3.828721903415156603e+08	3.828722019047428370e+08	3.828721903398655653e+08	1.650094985961914062e-03
1.600000000000000000e+02	3.830971668326236606e+08	3.830971746546781063e+08	3.830971668311246037e+08	1.499056816101074219e-03
1.610000000000000000e+02	3.835989426294785738e+08	3.835989464997794628e+08	3.835989426180559993e+08	1.142257452011108398e-02
1.620000000000000000e+02	3.843593835633435249e+08	3.843593838449802995e+08	3.843593835601763725e+08	3.167152404785156250e-03
1.630000000000000000e+02	3.852849415367289782e+08	3.852849390748136044e+08	3.852849415423557162e+08	-5.626738071441650391e-03
1.640000000000000000e+02	3.862223714226828218e+08	3.862223674071819186e+08	3.862223714145809412e+08	8.101880550384521484e-03
1.650000000000000000e+02	3.869863788287594318e+08	3.869863746682723761e+08	3.869863788232249022e+08	5.534529685974121094e-03
1.660000000000000000e+02	3.873933429003000855e+08	3.873933399618152380e+08	3.873933428990963697e+08	1.203715801239013672e-03
1.670000000000000000e+02	3.872948894188747406e+08	3.872948888426409364e+08	3.872948894150561690e+08	3.818571567535400391e-03
1.680000000000000000e+02	3.866060645782353878e+08	3.866060671496295929e+08	3.866060645773405433e+08	8.948445320129394531e-04
1.690000000000000000e+02	3.853243238709001541e+08	3.853243299047177434e+08	3.853243238670500517e+08	3.850102424621582031e-03
1.700000000000000000e+02	3.835368440119863153e+08	3.835368533447913527e+08	3.835368440060979128e+08	5.888402462005615234e-03
1.710000000000000000e+02	3.814146386768096685e+08	3.814146507116764188e+08	3.814146386779499054e+08	-1.140236854553222656e-03
1.720000000000000000e+02	3.791929499971509576e+08	3.791929637858169079e+08	3.791929499939695001e+08	3.181457519531250000e-03
1.730000000000000000e+02	3.771389672074396610e+08	3.771389816588742137e+08	3.771389672089282274e+08	-1.488566398620605469e-03
1.740000000000000000e+02	3.755104607958523035e+08	3.755104748397472501e+08	3.755104607927680016e+08	3.084301948547363281e-03
1.750000000000000000e+02	3.745120812943557501e+08	3.745120941018531919e+08	3.745120812804992795e+08	1.385647058486938477e-02
1.760000000000000000e+02	3.742585630607553720e+08	3.742585742275768518e+08	3.742585630643286705e+08	-3.573298454284667969e-03
1.770000000000000000e+02	3.747540942040515542e+08	3.747541037201803923e+08	3.747540941927670240e+08	1.128453016281127930e-02
1.780000000000000000e+02	3.758936302606467605e+08	3.758936385948290825e+08	3.758936302670439482e+08	-6.397187709808349609e-03
1.790000000000000000e+02	3.774858617351563573e+08	3.774858695742914081e+08	3.774858617307198048e+08	4.436552524566650391e-03
1.800000000000000000e+02	3.792915370545700788e+08	3.792915452156571150e+08	3.792915370540317893e+08	5.382895469665527344e-04
1.810000000000000000e+02	3.810675119403621554e+08	3.810675211014868021e+08	3.810675119358754158e+08	4.486739635467529297e-03
1.820000000000000000e+02	3.826070822096288204e+08	3.826070927835307121e+08	3.826070822158185244e+08	-6.189703941345214844e-03
1.830000000000000000e+02	3.837697875608659387e+08	3.837697995292013288e+08	3.837697875589259267e+08	1.940011978149414062e-03
1.840000000000000000e+02	3.844971645037965178e+08	3.844971774588935971e+08	3.844971645153456926e+08	-1.154917478561401367e-02
1.850000000000000000e+02	3.848136520825191140e+08	3.848136651871875525e+08	3.848136520795248151e+08	2.994298934936523438e-03
1.860000000000000000e+02	3.848137383243555427e+08	3.848137505287975073e+08	3.848137383201431632e+08	4.212379455566406250e-03
1.870000000000000000e+02	3.846378416807429194e+08	3.846378518493473530e+08	3.846378416714610457e+08	9.281873703002929688e-03
1.880000000000000000e+02	3.844407775607852936e+08	3.844407847196056247e+08	3.844407775564902425e+08	4.295051097869873047e-03
1.890000000000000000e+02	3.843580440987001657e+08	3.843580476226199865e+08	3.843580441019713283e+08	-3.271162509918212891e-03
1.900000000000000000e+02	3.844761384726012945e+08	3.844761382387555838e+08	3.844761384746336341e+08	-2.032339572906494141e-03
1.910000000000000000e+02	3.848129665993105173e+08	3.848129630782151222e+08	3.848129666016645432e+08	-2.354025840759277344e-03
1.920000000000000000e+02	3.853126403391436338e+08	3.853126345442100763e+08	3.853126403401021361e+08	-9.585022926330566406e-04
1.930000000000000000e+02	3.858558043331963420e+08	3.858557976906661391e+08	3.858558043341605067e+08	-9.641647338867187500e-04
1.940000000000000000e+02	3.862831113297691345e+08	3.862831054670162797e+08	3.862831113309168220e+08	-1.147687435150146484e-03
1.950000000000000000e+02	3.864268060025924444e+08	3.864268025119583011e+08	3.864268060044934154e+08	-1.900970935821533203e-03
1.960000000000000000e+02	3.861443092769672871e+08	3.861443094810214043e+08	3.861443092738214135e+08	3.145873546600341797e-03
1.970000000000000000e+02	3.853481040838932991e+08	3.853481088686034083e+08	3.853481040829163194e+08	9.769797325134277344e-04
1.980000000000000000e+02	3.840274267133237123e+08	3.840274363874022961e+08	3.840274267169023752e+08	-3.578662872314453125e-03
1.990000000000000000e+02	3.822585693030159473e+08	3.822585835470896959e+08	3.822585693038675785e+08	-8.516311645507812500e-04
2.000000000000000000e+02	3.802017131792896390e+08	3.802017311002810597e+08	3.802017131762784123e+08	3.011226654052734375e-03
2.010000000000000000e+02	3.780833615483764410e+08	3.780833818038244843e+08	3.780833615458008051e+08	2.575635910034179688e-03
2.020000000000000000e+02	3.761651508007397056e+08	3.761651718026365042e+08	3.761651508087275624e+08	-7.987856864929199219e-03
2.030000000000000000e+02	3.747024894942577481e+08	3.747025096366002560e+08	3.747024894988711476e+08	-4.613399505615234375e-03
2.040000000000000000e+02	3.738998193058511019e+08	3.738998372759048939e+08	3.738998193130728006e+08	-7.221698760986328125e-03
2.050000000000000000e+02	3.738720228006945848e+08	3.738720377627692819e+08	3.738720228012433648e+08	-5.487799644470214844e-04
2.060000000000000000e+02	3.746217376232231259e+08	3.746217493698503971e+08	3.746217376281514168e+08	-4.928290843963623047e-03
2.070000000000000000e+02	3.760389191010729074e+08	3.760389279970318675e+08	3.760389191037965417e+08	-2.723634243011474609e-03
2.080000000000000000e+02	3.779227811367827058e+08	3.779227880039282441e+08	3.779227811415871382e+08	-4.804432392120361328e-03
2.090000000000000000e+02	3.800199709369206429e+08	3.800199768092426658e+08	3.800199709412736893e+08	-4.353046417236328125e-03
2.100000000000000000e+02	3.820692695722176433e+08	3.820692754467955828e+08	3.820692695701829791e+08	2.034664154052734375e-03
2.110000000000000000e+02	3.838432119350527525e+08	3.838432185690537691e+08	3.838432119373124838e+08	-2.259731292724609375e-03
2.120000000000000000e+02	3.851796891972516179e+08	3.851796969114556909e+08	3.851796891894063354e+08	7.845282554626464844e-03
2.130000000000000000e+02	3.859999547538937926e+08	3.859999634231383204e+08	3.859999547527568936e+08	1.136898994445800781e-03
2.140000000000000000e+02	3.863121737828693390e+08	3.863121828038684726e+08	3.863121737756091356e+08	7.260203361511230469e-03
2.150000000000000000e+02	3.862014148236887455e+08	3.862014232862985730e+08	3.862014148220231533e+08	1.665592193603515625e-03
2.160000000000000000e+02	3.858081611756604910e+08	3.858081680059236884e+08	3.858081611704424024e+08	5.218088626861572266e-03
2.170000000000000000e+02	3.852985432574791312e+08	3.852985474815894961e+08	3.852985432516329885e+08	5.846142768859863281e-03
2.180000000000000000e+02	3.848307935262640119e+08	3.848307944933887720e+08	3.848307935243431330e+08	1.920878887176513672e-03
2.190000000000000000e+02	3.845236242180963159e+08	3.845236217723131180e+08	3.845236242098375559e+08	8.258759975433349609e-03
2.200000000000000000e+02	3.844326390561655760e+08	3.844326336745567918e+08	3.844326390544621944e+08	1.703381538391113281e-03
2.210000000000000000e+02	3.845398325856392384e+08	3.845398253255411983e+08	3.845398325885341167e+08	-2.894878387451171875e-03
2.220000000000000000e+02	3.847585868999173641e+08	3.847585792773540616e+08	3.847585868990825415e+08	8.348226547241210938e-04
2.230000000000000000e+02	3.849530647152889371e+08	3.849530584992742538e+08	3.849530647097414136e+08	5.547523498535156250e-03
2.240000000000000000e+02	3.849677484910829067e+08	3.849677454370164275e+08	3.849677484863704443e+08	4.712462425231933594e-03
2.250000000000000000e+02	3.846610993321167231e+08	3.846611009047423005e+08	3.846610993286426663e+08	3.474056720733642578e-03
2.260000000000000000e+02	3.839371479811134338e+08	3.839371551354711652e+08	3.839371479800286293e+08	1.084804534912109375e-03
2.270000000000000000e+02	3.827697945695563555e+08	3.827698075903840661e+08	3.827697945675868392e+08	1.969516277313232422e-03
2.280000000000000000e+02	3.812159622875363827e+08	3.812159807361831665e+08	3.812159622905439138e+08	-3.007531166076660156e-03
2.290000000000000000e+02	3.794150866873062253e+08	3.794151094095258117e+08	3.794150866838939190e+08	3.412306308746337891e-03
